Server: Loading model from game_engine/model/best_model.pth
Server Ready: Batch=4096, Streams=8, Device=cuda
   [Worker 0] Starting Game 1...
   [Worker 3] Starting Game 1...
   [Worker 2] Starting Game 1...
   [Worker 6] Starting Game 1...
   [Worker 5] Starting Game 1...
   [Worker 1] Starting Game 1...
   [Worker 4] Starting Game 1...
   [Worker 7] Starting Game 1...
   [Worker 14] Starting Game 1...
   [Worker 8] Starting Game 1...
   [Worker 10] Starting Game 1...
   [Worker 9] Starting Game 1...
   [Worker 11] Starting Game 1...
   [Worker 13] Starting Game 1...
   [Worker 12] Starting Game 1...
   [Worker 17] Starting Game 1...
   [Worker 16] Starting Game 1...
   [Worker 15] Starting Game 1...
   [Worker 22] Starting Game 1...
   [Worker 21] Starting Game 1...
   [Worker 18] Starting Game 1...
   [Worker 25] Starting Game 1...
   [Worker 19] Starting Game 1...
   [Worker 20] Starting Game 1...
   [Worker 23] Starting Game 1...
   [Worker 29] Starting Game 1...
   [Worker 24] Starting Game 1...
   [Worker 26] Starting Game 1...
   [Worker 27] Starting Game 1...
   [Worker 28] Starting Game 1...
   [Worker 36] Starting Game 1...
   [Worker 30] Starting Game 1...
   [Worker 31] Starting Game 1...
   [Worker 32] Starting Game 1...
   [Worker 34] Starting Game 1...
   [Worker 33] Starting Game 1...
   [Worker 35] Starting Game 1...
   [Worker 37] Starting Game 1...
   [Worker 40] Starting Game 1...
   [Worker 42] Starting Game 1...
   [Worker 38] Starting Game 1...
   [Worker 39] Starting Game 1...
   [Worker 41] Starting Game 1...
   [Worker 43] Starting Game 1...
   [Worker 0] Move 1: a2a3 (14.14s | 113 sim/s)
   [Worker 2] Move 1: f2f3 (18.47s | 87 sim/s)
   [Worker 6] Move 1: e2e4 (19.67s | 81 sim/s)
   [Worker 3] Move 1: b2b4 (21.11s | 76 sim/s)
   [Worker 5] Move 1: e2e4 (21.63s | 74 sim/s)
   [Worker 7] Move 1: b1a3 (21.75s | 74 sim/s)
   [Worker 8] Move 1: g2g3 (21.73s | 74 sim/s)
   [Worker 4] Move 1: e2e4 (21.96s | 73 sim/s)
   [Worker 15] Move 1: e2e4 (22.16s | 72 sim/s)
   [Worker 14] Move 1: b2b4 (22.73s | 70 sim/s)
   [Worker 25] Move 1: d2d4 (22.31s | 72 sim/s)
   [Worker 10] Move 1: b1a3 (25.35s | 63 sim/s)
   [Worker 1] Move 1: f2f3 (26.26s | 61 sim/s)
   [Worker 11] Move 1: g2g4 (25.98s | 62 sim/s)
   [Worker 17] Move 1: d2d3 (26.26s | 61 sim/s)
   [Worker 9] Move 1: e2e4 (26.51s | 60 sim/s)
   [Worker 13] Move 1: b2b4 (26.77s | 60 sim/s)
   [Worker 12] Move 1: b1c3 (26.77s | 60 sim/s)
   [Worker 22] Move 1: e2e4 (27.08s | 59 sim/s)
   [Worker 21] Move 1: c2c3 (27.21s | 59 sim/s)
   [Worker 19] Move 1: g1f3 (27.42s | 58 sim/s)
   [Worker 29] Move 1: a2a4 (27.23s | 59 sim/s)
   [Worker 24] Move 1: d2d4 (27.17s | 59 sim/s)
   [Worker 18] Move 1: g1h3 (28.08s | 57 sim/s)
   [Worker 16] Move 1: e2e4 (28.22s | 57 sim/s)
   [Worker 20] Move 1: g1h3 (28.10s | 57 sim/s)
   [Worker 28] Move 1: d2d4 (27.62s | 58 sim/s)
   [Worker 27] Move 1: c2c3 (28.23s | 57 sim/s)
   [Worker 42] Move 1: b2b3 (27.95s | 57 sim/s)
   [Worker 37] Move 1: c2c4 (28.02s | 57 sim/s)
   [Worker 36] Move 1: e2e4 (28.96s | 55 sim/s)
   [Worker 40] Move 1: e2e4 (28.68s | 56 sim/s)
   [Worker 34] Move 1: g2g4 (28.87s | 55 sim/s)
   [Worker 23] Move 1: e2e4 (29.40s | 54 sim/s)
   [Worker 31] Move 1: c2c3 (29.95s | 53 sim/s)
   [Worker 33] Move 1: e2e4 (29.94s | 53 sim/s)
   [Worker 32] Move 1: e2e3 (30.06s | 53 sim/s)
   [Worker 26] Move 1: f2f3 (30.38s | 53 sim/s)
   [Worker 35] Move 1: f2f3 (30.92s | 52 sim/s)
   [Worker 43] Move 1: b2b3 (30.40s | 53 sim/s)
   [Worker 41] Move 1: b2b4 (30.72s | 52 sim/s)
   [Worker 30] Move 1: g1h3 (31.19s | 51 sim/s)
   [Worker 38] Move 1: a2a4 (31.53s | 51 sim/s)
   [Worker 39] Move 1: d2d3 (34.37s | 47 sim/s)
   [Worker 0] Move 2: d7d6 (28.83s | 56 sim/s)
   [Worker 2] Move 2: d7d5 (28.87s | 55 sim/s)
   [Worker 3] Move 2: a7a5 (30.18s | 53 sim/s)
   [Worker 7] Move 2: b8c6 (32.22s | 50 sim/s)
   [Worker 6] Move 2: b7b6 (34.80s | 46 sim/s)
   [Worker 5] Move 2: b7b6 (32.80s | 49 sim/s)
   [Worker 8] Move 2: b7b5 (33.95s | 47 sim/s)
   [Worker 1] Move 2: d7d5 (31.76s | 50 sim/s)
   [Worker 14] Move 2: h7h6 (34.89s | 46 sim/s)
   [Worker 15] Move 2: b8c6 (35.17s | 45 sim/s)
   [Worker 10] Move 2: g7g5 (33.94s | 47 sim/s)
   [Worker 4] Move 2: b7b5 (38.09s | 42 sim/s)
   [Worker 25] Move 2: f7f5 (38.25s | 42 sim/s)
   [Worker 11] Move 2: d7d6 (35.13s | 46 sim/s)
   [Worker 17] Move 2: g7g5 (34.78s | 46 sim/s)
   [Worker 9] Move 2: b7b5 (34.84s | 46 sim/s)
   [Worker 12] Move 2: d7d6 (35.46s | 45 sim/s)
   [Worker 18] Move 2: b8c6 (33.89s | 47 sim/s)
   [Worker 13] Move 2: h7h5 (35.46s | 45 sim/s)
   [Worker 22] Move 2: b7b6 (35.31s | 45 sim/s)
   [Worker 19] Move 2: g8h6 (35.97s | 44 sim/s)
   [Worker 20] Move 2: f7f5 (35.33s | 45 sim/s)
   [Worker 29] Move 2: d7d6 (35.94s | 45 sim/s)
   [Worker 24] Move 2: f7f5 (35.98s | 44 sim/s)
   [Worker 21] Move 2: b8a6 (36.45s | 44 sim/s)
   [Worker 27] Move 2: b7b6 (34.93s | 46 sim/s)
   [Worker 40] Move 2: b8c6 (35.03s | 46 sim/s)
   [Worker 31] Move 2: f7f5 (34.31s | 47 sim/s)
   [Worker 30] Move 2: g7g5 (33.16s | 48 sim/s)
   [Worker 37] Move 2: g7g6 (36.08s | 44 sim/s)
   [Worker 34] Move 2: g7g5 (35.39s | 45 sim/s)
   [Worker 32] Move 2: g8f6 (34.32s | 47 sim/s)
   [Worker 23] Move 2: b7b5 (35.47s | 45 sim/s)
   [Worker 26] Move 2: b8c6 (35.77s | 45 sim/s)
